==================================================================
RAPPORT DES MAIRES SANS CORRESPONDANCE AVEC LES CIRCONSCRIPTIONS
==================================================================

Date: ven. 14 nov. 2025 17:13:07

Nombre total de maires dans le CSV: 29491
Nombre de maires insérés dans la base: 27660
Nombre de maires NON insérés: 1831

==================================================================
ANALYSE PAR RÉGION
==================================================================

Combinaisons Région-Département-Circonscription présentes dans le CSV mais ABSENTES de la table circonscriptions:

- Grand-Est | Dept: 51 (Marne) | Circo: 4e circo | Maires concernés: 15
- Grand-Est | Dept: 51 (Marne) | Circo: 5e circo | Maires concernés: 212
- Grand-Est | Dept: 52 (Haute-Marne) | Circo: 1ere circo | Maires concernés: 184
- Grand-Est | Dept: 52 (Haute-Marne) | Circo: 2e circo | Maires concernés: 233
- Grand-Est | Dept: 54 (Meurthe-et-Moselle) | Circo:  | Maires concernés: 3
- Grand-Est | Dept: 54 (Meurthe-et-Moselle) | Circo: 1ere circo | Maires concernés: 188
- Grand-Est | Dept: 54 (Meurthe-et-Moselle) | Circo: 2e circo | Maires concernés: 78
- Grand-Est | Dept: 54 (Meurthe-et-Moselle) | Circo: 3e circo | Maires concernés: 176
- Grand-Est | Dept: 54 (Meurthe-et-Moselle) | Circo: 4e circo | Maires concernés: 81
- Grand-Est | Dept: 54 (Meurthe-et-Moselle) | Circo: 5e circo | Maires concernés: 49
- Grand-Est | Dept: 54 (Meurthe-et-Moselle) | Circo: 6e circo | Maires concernés: 14
- Grand-Est | Dept: 55 (Meuse) | Circo:  | Maires concernés: 4
- Grand-Est | Dept: 55 (Meuse) | Circo: 1ere circo | Maires concernés: 253
- Grand-Est | Dept: 55 (Meuse) | Circo: 2e circo | Maires concernés: 231
- Grand-Est | Dept: 57 (Moselle) | Circo:  | Maires concernés: 4
- Grand-Est | Dept: 57 (Moselle) | Circo: 1ere circo | Maires concernés: 93
- Grand-Est | Dept: 57 (Moselle) | Circo: 2e circo | Maires concernés: 119
- Grand-Est | Dept: 57 (Moselle) | Circo: 3e circo | Maires concernés: 26
- Grand-Est | Dept: 57 (Moselle) | Circo: 4e circo | Maires concernés: 189
- Grand-Est | Dept: 57 (Moselle) | Circo: 5e circo | Maires concernés: 54
- Grand-Est | Dept: 57 (Moselle) | Circo: 6e circo | Maires concernés: 75
- Grand-Est | Dept: 57 (Moselle) | Circo: 7e circo | Maires concernés: 103
- Grand-Est | Dept: 57 (Moselle) | Circo: 8e circo | Maires concernés: 35
- Grand-Est | Dept: 57 (Moselle) | Circo: 9e circo | Maires concernés: 23
- Grand-Est | Dept: 67 (Bas-Rhin) | Circo:  | Maires concernés: 21
- Grand-Est | Dept: 67 (Bas-Rhin) | Circo: 1ere circo | Maires concernés: 90
- Grand-Est | Dept: 67 (Bas-Rhin) | Circo: 2e circo | Maires concernés: 51
- Grand-Est | Dept: 67 (Bas-Rhin) | Circo: 3e circo | Maires concernés: 88
- Grand-Est | Dept: 67 (Bas-Rhin) | Circo: 4e circo | Maires concernés: 104
- Grand-Est | Dept: 67 (Bas-Rhin) | Circo: 5e circo | Maires concernés: 86
- Grand-Est | Dept: 67 (Bas-Rhin) | Circo: 6e circo | Maires concernés: 28
- Grand-Est | Dept: 67 (Bas-Rhin) | Circo: 7e circo | Maires concernés: 40
- Grand-Est | Dept: 68 (Haut-Rhin) | Circo:  | Maires concernés: 6
- Grand-Est | Dept: 68 (Haut-Rhin) | Circo: 1ere circo | Maires concernés: 118
- Grand-Est | Dept: 68 (Haut-Rhin) | Circo: 2e circo | Maires concernés: 13
- Grand-Est | Dept: 68 (Haut-Rhin) | Circo: 3e circo | Maires concernés: 64
- Grand-Est | Dept: 68 (Haut-Rhin) | Circo: 4e circo | Maires concernés: 60
- Grand-Est | Dept: 68 (Haut-Rhin) | Circo: 5e circo | Maires concernés: 58
- Grand-Est | Dept: 68 (Haut-Rhin) | Circo: 6e circo | Maires concernés: 43
- Grand-Est | Dept: 88 (Vosges) | Circo:  | Maires concernés: 1
- Grand-Est | Dept: 88 (Vosges) | Circo: 1ere circo | Maires concernés: 183
- Grand-Est | Dept: 88 (Vosges) | Circo: 2e circo | Maires concernés: 50
- Grand-Est | Dept: 88 (Vosges) | Circo: 3e circo | Maires concernés: 161
- Grand-Est | Dept: 88 (Vosges) | Circo: 4e circo | Maires concernés: 72
- Hauts-de-France | Dept: 02 (Aisne) | Circo:  | Maires concernés: 152
- Hauts-de-France | Dept: 02 (Aisne) | Circo: 1ere circo | Maires concernés: 53
- Hauts-de-France | Dept: 02 (Aisne) | Circo: 2e circo | Maires concernés: 2
- Hauts-de-France | Dept: 02 (Aisne) | Circo: 3e circo | Maires concernés: 20
- Hauts-de-France | Dept: 02 (Aisne) | Circo: A verifier | Maires concernés: 542
- Hauts-de-France | Dept: 59 (Nord) | Circo:  | Maires concernés: 9
- Hauts-de-France | Dept: 59 (Nord) | Circo: 10e circo | Maires concernés: 28
- Hauts-de-France | Dept: 59 (Nord) | Circo: 11e circo | Maires concernés: 60
- Hauts-de-France | Dept: 59 (Nord) | Circo: 12e circo | Maires concernés: 4
- Hauts-de-France | Dept: 59 (Nord) | Circo: 13e circo | Maires concernés: 2
- Hauts-de-France | Dept: 59 (Nord) | Circo: 14e circo | Maires concernés: 11
- Hauts-de-France | Dept: 59 (Nord) | Circo: 15e circo | Maires concernés: 31
- Hauts-de-France | Dept: 59 (Nord) | Circo: 16e circo | Maires concernés: 17
- Hauts-de-France | Dept: 59 (Nord) | Circo: 17e circo | Maires concernés: 21
- Hauts-de-France | Dept: 59 (Nord) | Circo: 18e circo | Maires concernés: 46
- Hauts-de-France | Dept: 59 (Nord) | Circo: 19e circo | Maires concernés: 4
- Hauts-de-France | Dept: 59 (Nord) | Circo: 1ere circo | Maires concernés: 46
- Hauts-de-France | Dept: 59 (Nord) | Circo: 20e circo | Maires concernés: 7
- Hauts-de-France | Dept: 59 (Nord) | Circo: 21e circo | Maires concernés: 45
- Hauts-de-France | Dept: 59 (Nord) | Circo: 2e circo | Maires concernés: 16
- Hauts-de-France | Dept: 59 (Nord) | Circo: 3e circo | Maires concernés: 56
- Hauts-de-France | Dept: 59 (Nord) | Circo: 4e circo | Maires concernés: 71
- Hauts-de-France | Dept: 59 (Nord) | Circo: 5e circo | Maires concernés: 58
- Hauts-de-France | Dept: 59 (Nord) | Circo: 6e circo | Maires concernés: 14
- Hauts-de-France | Dept: 59 (Nord) | Circo: 7e circo | Maires concernés: 24
- Hauts-de-France | Dept: 59 (Nord) | Circo: 8e circo | Maires concernés: 5
- Hauts-de-France | Dept: 59 (Nord) | Circo: 9e circo | Maires concernés: 58
- Hauts-de-France | Dept: 60 (Oise) | Circo:  | Maires concernés: 4
- Hauts-de-France | Dept: 60 (Oise) | Circo: 1ere circo | Maires concernés: 36
- Hauts-de-France | Dept: 60 (Oise) | Circo: 2e circo | Maires concernés: 99
- Hauts-de-France | Dept: 60 (Oise) | Circo: 3e circo | Maires concernés: 107
- Hauts-de-France | Dept: 60 (Oise) | Circo: 4e circo | Maires concernés: 156
